time,pressure
0.1312,13.3506
0.1313,13.3532
0.1314,13.3558
0.1315,13.3585
0.1316,13.3611
0.1317,13.3638
0.1318,13.3664
0.1319,13.369
0.132,13.3716
0.1321,13.3743
0.1322,13.3769
0.1323,13.3795
0.1324,13.3822
0.1325,13.3848
0.1326,13.3874
0.1327,13.39
0.1328,13.3926
0.1329,13.3953
0.133,13.3979
0.1331,13.4005
0.1332,13.4031
0.1333,13.4057
0.1334,13.4083
0.1335,13.4109
0.1336,13.4135
0.1337,13.4161
0.1338,13.4187
0.1339,13.4213
0.134,13.4239
0.1341,13.4265
0.1342,13.4291
0.1343,13.4317
0.1344,13.4343
0.1345,13.4369
0.1346,13.4395
0.1347,13.4421
0.1348,13.4447
0.1349,13.4472
0.135,13.4498
0.1351,13.4524
0.1352,13.455
0.1353,13.4576
0.1354,13.4601
0.1355,13.4627
0.1356,13.4653
0.1357,13.4679
0.1358,13.4704
0.1359,13.473
0.136,13.4756
0.1361,13.4781
0.1362,13.4807
0.1363,13.4832
0.1364,13.4858
0.1365,13.4884
0.1366,13.4909
0.1367,13.4935
0.1368,13.496
0.1369,13.4986
0.137,13.5011
0.1371,13.5037
0.1372,13.5062
0.1373,13.5088
0.1374,13.5113
0.1375,13.5138
0.1376,13.5164
0.1377,13.5189
0.1378,13.5214
0.1379,13.524
0.138,13.5265
0.1381,13.529
0.1382,13.5316
0.1383,13.5341
0.1384,13.5366
0.1385,13.5391
0.1386,13.5416
0.1387,13.5442
0.1388,13.5467
0.1389,13.5492
0.139,13.5517
0.1391,13.5542
0.1392,13.5567
0.1393,13.5592
0.1394,13.5617
0.1395,13.5642
0.1396,13.5667
0.1397,13.5692
0.1398,13.5717
0.1399,13.5742
0.14,13.5767
0.1401,13.5792
0.1402,13.5817
0.1403,13.5842
0.1404,13.5867
0.1405,13.5892
0.1406,13.5916
0.1407,13.5941
0.1408,13.5966
0.1409,13.5991
0.141,13.6015
0.1411,13.604
0.1412,13.6065
0.1413,13.6089
0.1414,13.6114
0.1415,13.6139
0.1416,13.6163
0.1417,13.6188
0.1418,13.6213
0.1419,13.6237
0.142,13.6262
0.1421,13.6286
0.1422,13.6311
0.1423,13.6335
0.1424,13.636
